,Event,R,Rn,Ry
2788,MIN.UNC_H_DIRECT2CORE_TXN_OVERRIDE,0.6653449643140364,0.8215767634854771,0.6425325658891246
2789,MIN.UNC_H_DIRECTORY_LAT_OPT,0.8868622786148559,1.0,0.8703423205089367
2790,MIN.UNC_H_DIRECTORY_LOOKUP.NO_SNP,0.6745968807824478,0.8215767634854771,0.6531354135110573
2791,MIN.UNC_H_DIRECTORY_LOOKUP.SNOOP_S,0.6745968807824478,0.8215767634854771,0.6531354135110573
2792,MIN.UNC_H_DIRECTORY_LOOKUP.SNP,0.8487972508591065,0.7531120331950207,0.8627688579218419
2793,MIN.UNC_H_DIRECTORY_UPDATE.ANY,0.9978852762357917,0.991701244813278,0.9987882459860649
2794,MIN.UNC_H_DIRECTORY_UPDATE.CLEAR,0.9431667988369019,0.995850622406639,0.9354740987579522
2795,MIN.UNC_H_DIRECTORY_UPDATE.I2A,1.0,1.0,1.0
2796,MIN.UNC_H_DIRECTORY_UPDATE.I2S,0.9405233941316415,0.991701244813278,0.9330505907300818
2797,MIN.UNC_H_DIRECTORY_UPDATE.SET,0.992862807295797,0.9896265560165975,0.9933353529233565
2798,MIN.UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI0,0.894263811789585,0.6970954356846473,0.9230536201151166
2799,MIN.UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI1,0.746233148295004,0.4730290456431535,0.7861254165404423
2800,MIN.UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI0,0.6457837694951097,0.8215767634854771,0.6201151166313238
2801,MIN.UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI1,0.669310071371927,0.8236514522821576,0.6467737049378977
2802,MIN.UNC_H_IMC_READS.NORMAL,0.6640232619614063,0.8112033195020747,0.6425325658891246
2803,MIN.UNC_H_IMC_RETRY,0.683320116309807,0.8070539419087137,0.6652529536504089
2804,MIN.UNC_H_IMC_WRITES.ALL,0.9151467089611419,0.970954356846473,0.9069978794304756
2805,MIN.UNC_H_IMC_WRITES.FULL,0.866243721913825,0.9730290456431535,0.8506513177824901
2806,MIN.UNC_H_IMC_WRITES.PARTIAL,1.0,1.0,1.0
2807,MIN.UNC_H_IODC_CONFLICTS.LAST,1.0,1.0,1.0
2808,MIN.UNC_H_IODC_CONFLICTS.REMOTE_OTHER_SAME_ADDR,1.0,1.0,1.0
2809,MIN.UNC_H_OSB.INVITOE_LOCAL,0.9125033042558816,0.7136929460580913,0.941532868827628
2810,MIN.UNC_H_OSB.READS_LOCAL,0.8247422680412371,0.7759336099585062,0.831869130566495
2811,MIN.UNC_H_OSB_EDR.ALL,0.9040444091990484,0.8008298755186722,0.9191154195698273
2812,MIN.UNC_H_OSB_EDR.READS_LOCAL_I,0.7478191911181602,0.491701244813278,0.7852166010299909
2813,MIN.UNC_H_OSB_EDR.READS_REMOTE_I,1.0,1.0,1.0
2814,MIN.UNC_H_REQUESTS.INVITOE_LOCAL,0.9106529209621993,0.7095435684647303,0.940018176310209
2815,MIN.UNC_H_REQUESTS.INVITOE_REMOTE,0.9986782976473698,1.0,0.998485307482581
